0,None
1,None
2,None
3,None
4,None
5,None
6,None
7,None
8,andreessen
9,tim berners-lee
10,None
11,None
12,None
13,None
14,None
15,january 2003
16,january 2009
17,None
18,google
19,None
20,None
21,None
22,None
23,None
24,None
25,None
26,december 2011
27,1990s
28,None
29,None
30,None
31,None
32,None
33,None
34,None
35,None
36,1994
37,None
38,None
39,None
40,None
41,None
42,None
43,None
44,september 2008
45,None
46,None
47,java
48,None
49,None
50,None
51,None
52,None
53,None
54,april 27
55,hu jintao
56,jin jing
57,None
58,None
59,soha ali khan
60,marina
61,leung
62,None
63,daily telegraph
64,paris
65,None
66,None
67,fedor emelianenko
68,None
69,agnes shea
70,None
71,None
72,stephen smith
73,None
74,None
75,tony goh
76,None
77,None
78,april 9
79,april 18
80,shoichi washizawa
81,None
82,april 16
83,tin hau
84,china
85,None
86,None
87,2012
88,None
89,None
90,None
91,None
92,None
93,seoul
94,daily telegraph
95,None
96,None
97,None
98,None
99,None
100,macau
101,nguyễn văn hải)
102,jacqui smith
103,baichung bhutia
104,None
105,None
106,china
107,None
108,None
109,None
110,buenos aires
111,None
112,None
113,None
114,henry tang
115,stephen smith
116,None
117,None
118,None
119,None
120,france
121,None
122,None
123,None
124,None
125,march 2008
126,None
127,None
128,ted quinlan
129,norman bellingham
130,april 26 , 2008
131,kuala lumpur
132,None
133,None
134,donald tsang
135,april 26
136,galschiøt
137,None
138,None
139,None
140,None
141,may 3
142,thupten gyatso
143,None
144,None
145,None
146,None
147,None
148,None
149,april 29
150,None
151,None
152,None
153,bedi
154,reporters without borders
155,nguyễn văn hải)
156,None
157,None
158,None
159,None
160,1964
161,None
162,april 5
163,richard vaughan
164,justin herman plaza
165,None
166,darfur
167,daily telegraph
168,susan prager
169,None
170,None
171,jackie chan
172,None
173,waldo
174,None
175,beijing
176,None
177,april 21
178,None
179,fedor emelianenko
180,None
181,None
182,jane birkin
183,None
184,None
185,april 26 , 2008
186,None
187,daily telegraph
188,san francisco international airport
189,None
190,minami nagano sports park
191,norman bellingham
192,None
193,None
194,None
195,shoichi washizawa
196,china
197,None
198,None
199,None
200,1964
201,xinhua
202,None
203,None
204,None
205,tiananmen square
206,tiananmen square
207,szeto wah
208,darfur
209,None
210,beijing organizing committee
211,baichung bhutia
212,nagano
213,None
214,None
215,None
216,None
217,None
218,None
219,april 12
220,None
221,None
222,None
223,None
224,None
225,None
226,darfur
227,minh phiếu
228,maria nafpliotou
229,waldo
230,None
231,None
232,1707
233,None
234,None
235,leung
236,astana square
237,None
238,None
239,None
240,leong heng teng
241,None
242,None
243,None
244,california
245,saint petersburg
246,hu jintao
247,may 3
248,paris city
249,africa
250,None
251,None
252,None
253,None
254,None
255,april 15
256,london
257,None
258,None
259,None
260,france
261,nguyễn tấn dũng
262,sohu.com
263,None
264,marie-josé pérec
265,None
266,None
267,None
268,None
269,None
270,marina
271,tiananmen square
272,None
273,tony goh
274,None
275,None
276,None
277,None
278,sultanahmet square
279,None
280,None
281,None
282,None
283,may 4
284,None
285,None
286,seoul
287,None
288,None
289,daily telegraph
290,april 17
291,None
292,lola mora
293,None
294,None
295,san francisco
296,None
297,april 7
298,None
299,nagano
300,None
301,david douillet
302,None
303,None
304,None
305,None
306,darfur
307,None
308,redgrave
309,soha ali khan
310,None
311,norman bellingham
312,bureau of telecommunications regulation
313,None
314,justin herman plaza
315,pyongyang
316,None
317,None
318,leung
319,None
320,None
321,None
322,april 11
323,None
324,1988
325,kuala lumpur
326,None
327,agnes shea
328,None
329,None
330,None
331,islamabad
332,None
333,None
334,islamabad
335,None
336,None
337,april 1 , 2008
338,None
339,None
340,None
341,None
342,None
343,waldo
344,san francisco
345,None
346,None
347,marie-josé pérec
348,kamal nath
349,april 7
350,None
351,None
352,None
353,None
354,None
355,None
356,None
357,None
358,None
359,None
360,None
361,None
362,None
363,None
364,None
365,None
366,None
367,None
368,None
369,None
370,None
371,whiteley
372,None
373,None
374,None
375,None
376,None
377,None
378,None
379,1996
380,None
381,None
382,london
383,None
384,None
385,None
386,None
387,None
388,None
389,None
390,spencer
391,september
392,None
393,None
394,None
395,None
396,None
397,None
398,None
399,None
400,None
401,None
402,None
403,None
404,None
405,None
406,hamtun
407,None
408,None
409,None
410,hamtun
411,henry viii
412,None
413,None
414,None
415,None
416,None
417,None
418,None
419,None
420,1840
421,1862
422,None
423,None
424,None
425,july 2011
426,southern railway company
427,None
428,None
429,1000
430,None
431,None
432,None
433,None
434,march 14467
435,None
436,None
437,southampton district energy scheme
438,None
439,None
440,None
441,None
442,None
443,None
444,None
445,None
446,None
447,None
448,None
449,None
450,None
451,None
452,None
453,spencer
454,None
455,2001
456,None
457,None
458,None
459,None
460,None
461,None
462,None
463,eastleigh
464,None
465,None
466,june 1640
467,None
468,hamtun
469,None
470,None
471,None
472,None
473,None
474,None
475,None
476,None
477,None
478,None
479,hanover
480,None
481,december 2007
482,None
483,None
484,None
485,2004
486,1000
487,None
488,None
489,None
490,None
491,midlands
492,None
493,1380
494,None
495,None
496,None
497,None
498,None
499,None
500,None
501,bitterne
502,None
503,None
504,None
505,None
506,None
507,None
508,None
509,None
510,None
